row,col,state,conductance_s
0,0,Ron,1.000000000000e-03
0,1,Ron,1.000000000000e-03
0,2,Roff,1.000000000000e-06
0,3,Ron,1.000000000000e-03
0,4,Ron,1.000000000000e-03
0,5,Ron,1.000000000000e-03
0,6,Ron,1.000000000000e-03
0,7,Ron,1.000000000000e-03
1,0,Ron,1.000000000000e-03
1,1,Ron,1.000000000000e-03
1,2,Roff,1.000000000000e-06
1,3,Ron,1.000000000000e-03
1,4,Ron,1.000000000000e-03
1,5,Roff,1.000000000000e-06
1,6,Roff,1.000000000000e-06
1,7,Roff,1.000000000000e-06
2,0,Ron,1.000000000000e-03
2,1,Ron,1.000000000000e-03
2,2,Ron,1.000000000000e-03
2,3,Roff,1.000000000000e-06
2,4,Ron,1.000000000000e-03
2,5,Ron,1.000000000000e-03
2,6,Ron,1.000000000000e-03
2,7,Ron,1.000000000000e-03
3,0,Ron,1.000000000000e-03
3,1,Ron,1.000000000000e-03
3,2,Roff,1.000000000000e-06
3,3,Ron,1.000000000000e-03
3,4,Ron,1.000000000000e-03
3,5,Ron,1.000000000000e-03
3,6,Roff,1.000000000000e-06
3,7,Roff,1.000000000000e-06
4,0,Ron,1.000000000000e-03
4,1,Ron,1.000000000000e-03
4,2,Roff,1.000000000000e-06
4,3,Roff,1.000000000000e-06
4,4,Roff,1.000000000000e-06
4,5,Ron,1.000000000000e-03
4,6,Ron,1.000000000000e-03
4,7,Ron,1.000000000000e-03
5,0,Roff,1.000000000000e-06
5,1,Ron,1.000000000000e-03
5,2,Ron,1.000000000000e-03
5,3,Ron,1.000000000000e-03
5,4,Roff,1.000000000000e-06
5,5,Ron,1.000000000000e-03
5,6,Ron,1.000000000000e-03
5,7,Ron,1.000000000000e-03
6,0,Ron,1.000000000000e-03
6,1,Ron,1.000000000000e-03
6,2,Roff,1.000000000000e-06
6,3,Roff,1.000000000000e-06
6,4,Ron,1.000000000000e-03
6,5,Roff,1.000000000000e-06
6,6,Roff,1.000000000000e-06
6,7,Roff,1.000000000000e-06
7,0,Roff,1.000000000000e-06
7,1,Ron,1.000000000000e-03
7,2,Roff,1.000000000000e-06
7,3,Roff,1.000000000000e-06
7,4,Roff,1.000000000000e-06
7,5,Roff,1.000000000000e-06
7,6,Roff,1.000000000000e-06
7,7,Roff,1.000000000000e-06
