run,stim_channel,channel,window,f_demod_hz,i_v,q_v,mag_v,is_target
250,250,250,rect,249498730.60148057,-0.03648188740244893,0.018089643541100785,0.04072055146838082,1
250,250,250,hann,249498730.60148057,-0.03640109773650273,0.018068793466835955,0.040638912556435335,1
250,250,500,rect,507133673.08297706,0.0016072255527361842,-0.008122517845905506,0.008280004235169301,0
250,250,500,hann,507133673.08297706,0.0016664834548168568,-0.008322119563036386,0.008487334159007247,0
250,250,750,rect,748440700.663642,0.025788490252751223,0.005474898295072705,0.026363246022780177,0
250,250,750,hann,748440700.663642,0.025793913835336073,0.005457451427619843,0.02636493442111267,0
250,250,1g,rect,997182831.3660918,-0.0007637278202215484,-0.0011894922726152408,0.0014135671367118466,0
250,250,1g,hann,997182831.3660918,-0.0008014673731407472,-0.0011574411965471485,0.0014078423468817894,0
425,500,250,rect,249498628.0583208,-0.0013082196780777244,0.0010036230129211966,0.0016488474393268789,0
425,500,250,hann,249498628.0583208,-0.0013062142401148184,0.0009843815831026574,0.0016356047023136204,0
425,500,500,rect,498926664.71854335,0.01886873200593654,-0.1428931376249724,0.14413354164739434,1
425,500,500,hann,498926664.71854335,0.018944101831493622,-0.14330360761230548,0.14455034745341713,1
425,500,750,rect,746468188.329342,-0.0018742333950143178,-0.003951943098779404,0.004373854715805848,0
425,500,750,hann,746468188.329342,-0.0019833132242788733,-0.003822164845172027,0.004306097473266062,0
425,500,1g,rect,963591524.1399747,-0.001974515596269136,-0.0012738145064986515,0.0023497479092184476,0
425,500,1g,hann,963591524.1399747,-0.00388667940280585,-0.0017215958873495149,0.004250902160663546,0
723,750,250,rect,249498781.72089043,-0.001304489743898487,0.0010879449676632754,0.0016986223078130657,0
723,750,250,hann,249498781.72089043,-0.0013005969166310053,0.0010872222900156778,0.0016951709788269184,0
723,750,500,rect,491286831.0779978,-0.0036759007535962537,-0.004191237167779884,0.005574828728030041,0
723,750,500,hann,491286831.0779978,-0.003604869404918616,-0.004139015355248805,0.005488764117495276,0
723,750,750,rect,748856890.8557749,0.006659814918586456,-0.09651991681401112,0.09674940556165425,1
723,750,750,hann,748856890.8557749,0.006861436556163565,-0.09674206294609425,0.09698508160887591,1
723,750,1g,rect,1003396573.8814187,-0.0032100542485965873,-7.140752669958449e-05,0.003210848379136323,0
723,750,1g,hann,1003396573.8814187,-0.0032420704212796922,-0.0006063344767814488,0.003298281691164433,0
1229,1g,250,rect,249496917.1115323,-0.0011579906541802157,0.000991737719192088,0.0015246265309370188,0
1229,1g,250,hann,249496917.1115323,-0.0011539022960940588,0.0009917559230273063,0.001521535513811914,0
1229,1g,500,rect,499190726.4079212,-0.0015822728426621972,-0.00550343542754686,0.005726376590288505,0
1229,1g,500,hann,499190726.4079212,-0.0015721073698031136,-0.005499091875610478,0.00571939970963688,0
1229,1g,750,rect,753947723.3960817,-0.0015432061716376887,-0.00432391456934145,0.004591048081989984,0
1229,1g,750,hann,753947723.3960817,-0.0015939313108004575,-0.004717111591514357,0.00497913233308266,0
1229,1g,1g,rect,998704946.549227,-0.018067295951112863,-0.06418392344103234,0.06667835639298107,1
1229,1g,1g,hann,998704946.549227,-0.01804109057391508,-0.06425475011050646,0.06673944756184184,1
