time_s,250_i,500_i,750_i,1g_i,250_q,500_q,750_q,1g_q
1.600000e-07,-8.180763e-04,6.668828e-02,-1.226279e-02,2.060860e-02,-3.690159e-03,-2.919972e-01,2.025676e-02,-4.853919e-03
1.602500e-07,-8.366941e-04,-1.196621e-01,5.836104e-03,-1.049741e-03,-1.196936e-03,-1.912136e-01,8.034837e-03,-5.967687e-03
1.605000e-07,1.479534e-03,-1.833595e-02,2.424336e-03,-6.644606e-03,9.458531e-04,-4.252791e-03,-5.675032e-04,7.805308e-04
1.607500e-07,3.357113e-03,1.672513e-01,-1.234653e-03,-2.052296e-04,6.001422e-04,-1.038832e-01,7.266579e-03,-3.431169e-03
1.610000e-07,2.007362e-03,6.798661e-02,1.574650e-02,-2.224399e-02,-4.383851e-04,-2.886985e-01,1.001649e-02,5.676342e-05
1.612500e-07,-1.495457e-03,-1.166891e-01,2.050205e-02,-1.507428e-03,1.038372e-03,-1.892899e-01,-1.420759e-02,2.756169e-02
1.615000e-07,-3.276677e-03,-1.825333e-02,-2.900224e-03,3.177872e-03,5.090079e-03,-4.363557e-03,-1.375843e-02,3.568663e-04
1.617500e-07,-1.451122e-03,1.660090e-01,1.331082e-02,-4.616073e-03,7.972317e-03,-1.015666e-01,2.566728e-03,2.705040e-02
1.620000e-07,1.372298e-03,7.003835e-02,1.704513e-02,1.876613e-02,6.380098e-03,-2.886716e-01,-2.552694e-02,4.318995e-03
1.622500e-07,1.012139e-03,-1.180484e-01,-1.530303e-02,3.146620e-04,1.467523e-03,-1.944180e-01,-2.316436e-02,-1.080426e-03
1.625000e-07,-3.278487e-03,-2.402282e-02,-9.152234e-03,-4.622084e-03,-2.125124e-03,-5.914331e-03,1.718087e-03,-1.638070e-03
1.627500e-07,-7.624731e-03,1.627651e-01,4.142205e-03,-7.964036e-05,-1.412684e-03,-9.807946e-02,-1.918139e-02,1.895391e-04
1.630000e-07,-7.829808e-03,7.105085e-02,-2.842902e-02,-1.581058e-02,1.658328e-03,-2.844586e-01,-1.990896e-02,-7.734540e-03
1.632500e-07,-4.005183e-03,-1.156512e-01,-2.068383e-02,-1.307319e-02,2.743763e-03,-1.933979e-01,1.301443e-02,2.325367e-02
1.635000e-07,-1.468641e-04,-2.546323e-02,-3.136799e-04,6.704274e-03,2.250151e-04,-6.451390e-03,-1.902915e-03,4.291094e-03
1.637500e-07,5.914594e-04,1.613819e-01,-2.425945e-02,-1.315837e-02,-3.137103e-03,-9.576847e-02,-5.805063e-03,1.817878e-02
1.640000e-07,-7.781155e-04,7.337095e-02,-1.417461e-02,1.660002e-02,-3.731837e-03,-2.855428e-01,1.931394e-02,1.352656e-02
1.642500e-07,-9.136433e-04,-1.173991e-01,5.306246e-03,4.160264e-03,-1.342735e-03,-1.993610e-01,8.863643e-03,-4.547821e-03
1.645000e-07,1.321482e-03,-3.056948e-02,3.023396e-03,-5.017545e-03,8.684610e-04,-7.964889e-03,-4.297067e-04,-5.146784e-03
1.647500e-07,3.291222e-03,1.593498e-01,-1.699663e-03,1.889463e-03,6.312596e-04,-9.311524e-02,6.465510e-03,-1.642182e-03
1.650000e-07,2.122864e-03,7.451815e-02,1.442696e-02,-1.333899e-02,-4.356591e-04,-2.821007e-01,1.108886e-02,-1.724743e-02
1.652500e-07,-1.313570e-03,-1.143138e-01,2.158166e-02,-2.294874e-02,8.877574e-04,-1.971504e-01,-1.227779e-02,1.573760e-02
1.655000e-07,-3.212462e-03,-3.017831e-02,-1.778390e-03,2.328258e-03,4.854808e-03,-8.080691e-03,-1.487504e-02,3.849795e-03
1.657500e-07,-1.532241e-03,1.580584e-01,1.177209e-02,-2.355549e-02,7.854864e-03,-9.093627e-02,3.375640e-03,1.246552e-02
1.660000e-07,1.309522e-03,7.647833e-02,1.886995e-02,8.216448e-03,6.484658e-03,-2.818107e-01,-2.345434e-02,1.793722e-02
1.662500e-07,1.123782e-03,-1.153475e-01,-1.329482e-02,1.139919e-03,1.674148e-03,-2.020613e-01,-2.462515e-02,-4.452197e-04
1.665000e-07,-3.043403e-03,-3.569590e-02,-1.053774e-02,-1.604379e-03,-2.027656e-03,-9.816572e-03,1.023246e-03,-4.920982e-03
1.667500e-07,-7.478796e-03,1.547120e-01,5.406158e-03,-9.525863e-04,-1.483353e-03,-8.762760e-02,-1.738746e-02,2.513403e-04
1.670000e-07,-7.907517e-03,7.730008e-02,-2.633033e-02,-3.413646e-03,1.570947e-03,-2.774232e-01,-2.216397e-02,-1.677276e-02
1.672500e-07,-4.216421e-03,-1.127922e-01,-2.237802e-02,-2.637891e-02,2.811072e-03,-2.007170e-01,1.144777e-02,3.814015e-03
1.675000e-07,-2.891068e-04,-3.682959e-02,-4.363133e-05,7.836349e-04,4.309853e-04,-1.039600e-02,-5.837183e-04,9.047229e-03
1.677500e-07,5.998179e-04,1.532277e-01,-2.286202e-02,-2.150885e-02,-2.975031e-03,-8.542722e-02,-7.668658e-03,6.284539e-04
1.680000e-07,-7.323112e-04,7.954981e-02,-1.596378e-02,-6.047802e-04,-3.747899e-03,-2.782266e-01,1.813223e-02,2.160891e-02
1.682500e-07,-9.761476e-04,-1.142193e-01,4.663281e-03,6.205852e-03,-1.474197e-03,-2.065052e-01,9.637375e-03,5.298375e-04
1.685000e-07,1.169629e-03,-4.174128e-02,3.599593e-03,1.079093e-03,7.899464e-04,-1.208696e-02,-1.888545e-04,-7.528706e-03
1.687500e-07,3.213290e-03,1.511108e-01,-2.036869e-03,1.555403e-03,6.583957e-04,-8.291613e-02,5.653114e-03,3.145690e-04
1.690000e-07,2.216759e-03,8.054398e-02,1.304188e-02,5.406935e-03,-4.258926e-04,-2.746815e-01,1.200626e-02,-2.059507e-02
1.692500e-07,-1.145658e-03,-1.110522e-01,2.244304e-02,-2.659530e-02,7.534230e-04,-2.040157e-01,-1.025141e-02,-8.634646e-03
1.695000e-07,-3.148466e-03,-4.103728e-02,-4.779637e-04,-2.089460e-03,4.630241e-03,-1.218365e-02,-1.580795e-02,5.369229e-03
1.697500e-07,-1.609738e-03,1.498055e-01,1.025473e-02,-2.348398e-02,7.732347e-03,-8.089025e-02,3.954095e-03,-1.072231e-02
1.700000e-07,1.241673e-03,8.240572e-02,2.044202e-02,-9.407907e-03,6.574587e-03,-2.741692e-01,-2.123952e-02,1.783067e-02
1.702500e-07,1.222159e-03,-1.117898e-01,-1.110460e-02,1.118932e-03,1.871234e-03,-2.087106e-01,-2.581156e-02,6.748233e-04
1.705000e-07,-2.817370e-03,-4.629341e-02,-1.174148e-02,3.045370e-03,-1.928759e-03,-1.408457e-02,9.434958e-05,-4.452520e-03
