time,bf500p,bf500n,i500p,i500n,q500p,q500n
1.500000e-07,6.897436e-01,5.370014e-01,9.886499e-01,9.429178e-01,1.027635e+00,9.032165e-01
1.500019e-07,6.896820e-01,5.369936e-01,9.886767e-01,9.429145e-01,1.027653e+00,9.032162e-01
1.500056e-07,6.895517e-01,5.369823e-01,9.887249e-01,9.429060e-01,1.027686e+00,9.032126e-01
1.500096e-07,6.893962e-01,5.369764e-01,9.887749e-01,9.428981e-01,1.027720e+00,9.032081e-01
1.500136e-07,6.892256e-01,5.369770e-01,9.888234e-01,9.428934e-01,1.027753e+00,9.032046e-01
1.500176e-07,6.890402e-01,5.369844e-01,9.888674e-01,9.428911e-01,1.027785e+00,9.032008e-01
1.500202e-07,6.889099e-01,5.369929e-01,9.888920e-01,9.428894e-01,1.027802e+00,9.031959e-01
1.500226e-07,6.887884e-01,5.370035e-01,9.888939e-01,9.428709e-01,1.027801e+00,9.031725e-01
1.500266e-07,6.885699e-01,5.370273e-01,9.888929e-01,9.428438e-01,1.027797e+00,9.031328e-01
1.500306e-07,6.883357e-01,5.370588e-01,9.888858e-01,9.428229e-01,1.027795e+00,9.030929e-01
1.500346e-07,6.880859e-01,5.370988e-01,9.888721e-01,9.428091e-01,1.027793e+00,9.030531e-01
1.500386e-07,6.878210e-01,5.371483e-01,9.888525e-01,9.428031e-01,1.027793e+00,9.030138e-01
1.500426e-07,6.875413e-01,5.372082e-01,9.888286e-01,9.428053e-01,1.027795e+00,9.029761e-01
1.500466e-07,6.872472e-01,5.372793e-01,9.888017e-01,9.428150e-01,1.027800e+00,9.029412e-01
1.500506e-07,6.869388e-01,5.373616e-01,9.887717e-01,9.428303e-01,1.027808e+00,9.029087e-01
1.500546e-07,6.866159e-01,5.374543e-01,9.887373e-01,9.428495e-01,1.027816e+00,9.028779e-01
1.500586e-07,6.862774e-01,5.375556e-01,9.886980e-01,9.428713e-01,1.027824e+00,9.028490e-01
1.500626e-07,6.859210e-01,5.376630e-01,9.886539e-01,9.428939e-01,1.027831e+00,9.028216e-01
1.500666e-07,6.855448e-01,5.377747e-01,9.886054e-01,9.429163e-01,1.027838e+00,9.027951e-01
1.500706e-07,6.851478e-01,5.378896e-01,9.885532e-01,9.429378e-01,1.027843e+00,9.027691e-01
1.500746e-07,6.847296e-01,5.380076e-01,9.884981e-01,9.429584e-01,1.027847e+00,9.027432e-01
1.500786e-07,6.842907e-01,5.381291e-01,9.884406e-01,9.429783e-01,1.027850e+00,9.027173e-01
1.500826e-07,6.838318e-01,5.382545e-01,9.883813e-01,9.429978e-01,1.027853e+00,9.026912e-01
1.500866e-07,6.833534e-01,5.383843e-01,9.883205e-01,9.430173e-01,1.027856e+00,9.026650e-01
1.500906e-07,6.828560e-01,5.385190e-01,9.882587e-01,9.430370e-01,1.027859e+00,9.026387e-01
1.500946e-07,6.823400e-01,5.386588e-01,9.881963e-01,9.430572e-01,1.027861e+00,9.026125e-01
1.500986e-07,6.818058e-01,5.388041e-01,9.881334e-01,9.430782e-01,1.027864e+00,9.025863e-01
1.501026e-07,6.812538e-01,5.389549e-01,9.880704e-01,9.431002e-01,1.027867e+00,9.025604e-01
1.501066e-07,6.806840e-01,5.391114e-01,9.880075e-01,9.431233e-01,1.027870e+00,9.025348e-01
1.501106e-07,6.800968e-01,5.392737e-01,9.879449e-01,9.431475e-01,1.027874e+00,9.025097e-01
1.501146e-07,6.794923e-01,5.394417e-01,9.878828e-01,9.431729e-01,1.027879e+00,9.024850e-01
1.501186e-07,6.788708e-01,5.396156e-01,9.878212e-01,9.431995e-01,1.027884e+00,9.024609e-01
1.501226e-07,6.782325e-01,5.397955e-01,9.877602e-01,9.432272e-01,1.027889e+00,9.024373e-01
1.501266e-07,6.775778e-01,5.399813e-01,9.876998e-01,9.432560e-01,1.027895e+00,9.024145e-01
1.501306e-07,6.769067e-01,5.401732e-01,9.876402e-01,9.432859e-01,1.027902e+00,9.023923e-01
1.501346e-07,6.762195e-01,5.403712e-01,9.875811e-01,9.433167e-01,1.027909e+00,9.023707e-01
1.501386e-07,6.755164e-01,5.405754e-01,9.875228e-01,9.433484e-01,1.027917e+00,9.023499e-01
1.501426e-07,6.747976e-01,5.407856e-01,9.874652e-01,9.433809e-01,1.027925e+00,9.023298e-01
1.501466e-07,6.740631e-01,5.410019e-01,9.874082e-01,9.434141e-01,1.027934e+00,9.023105e-01
1.501506e-07,6.733132e-01,5.412242e-01,9.873519e-01,9.434480e-01,1.027943e+00,9.022918e-01
1.501546e-07,6.725481e-01,5.414526e-01,9.872963e-01,9.434824e-01,1.027953e+00,9.022739e-01
1.501586e-07,6.717678e-01,5.416869e-01,9.872413e-01,9.435174e-01,1.027963e+00,9.022567e-01
1.501626e-07,6.709727e-01,5.419274e-01,9.871870e-01,9.435529e-01,1.027973e+00,9.022401e-01
1.501666e-07,6.701633e-01,5.421743e-01,9.871333e-01,9.435887e-01,1.027983e+00,9.022243e-01
1.501706e-07,6.693399e-01,5.424277e-01,9.870802e-01,9.436249e-01,1.027994e+00,9.022092e-01
1.501746e-07,6.685026e-01,5.426875e-01,9.870277e-01,9.436614e-01,1.028005e+00,9.021948e-01
1.501786e-07,6.676516e-01,5.429537e-01,9.869758e-01,9.436982e-01,1.028017e+00,9.021811e-01
1.501826e-07,6.667868e-01,5.432259e-01,9.869245e-01,9.437351e-01,1.028028e+00,9.021681e-01
1.501866e-07,6.659081e-01,5.435039e-01,9.868738e-01,9.437723e-01,1.028040e+00,9.021557e-01
1.501906e-07,6.650152e-01,5.437871e-01,9.868237e-01,9.438096e-01,1.028051e+00,9.021441e-01
1.501946e-07,6.641081e-01,5.440755e-01,9.867741e-01,9.438470e-01,1.028063e+00,9.021331e-01
1.501986e-07,6.631873e-01,5.443691e-01,9.867251e-01,9.438845e-01,1.028075e+00,9.021228e-01
1.502026e-07,6.622530e-01,5.446680e-01,9.866767e-01,9.439220e-01,1.028087e+00,9.021132e-01
1.502066e-07,6.613055e-01,5.449725e-01,9.866287e-01,9.439595e-01,1.028099e+00,9.021042e-01
1.502106e-07,6.603451e-01,5.452823e-01,9.865814e-01,9.439970e-01,1.028111e+00,9.020960e-01
1.502146e-07,6.593720e-01,5.455977e-01,9.865345e-01,9.440345e-01,1.028124e+00,9.020885e-01
1.502186e-07,6.583864e-01,5.459184e-01,9.864882e-01,9.440719e-01,1.028136e+00,9.020817e-01
1.502226e-07,6.573884e-01,5.462446e-01,9.864424e-01,9.441093e-01,1.028148e+00,9.020756e-01
1.502266e-07,6.563783e-01,5.465761e-01,9.863972e-01,9.441465e-01,1.028160e+00,9.020703e-01
1.502306e-07,6.553563e-01,5.469130e-01,9.863524e-01,9.441836e-01,1.028172e+00,9.020658e-01
1.502346e-07,6.543226e-01,5.472552e-01,9.863082e-01,9.442206e-01,1.028185e+00,9.020620e-01
1.502386e-07,6.532773e-01,5.476026e-01,9.862645e-01,9.442574e-01,1.028197e+00,9.020590e-01
1.502426e-07,6.522207e-01,5.479553e-01,9.862213e-01,9.442941e-01,1.028209e+00,9.020569e-01
1.502466e-07,6.511529e-01,5.483132e-01,9.861787e-01,9.443305e-01,1.028221e+00,9.020557e-01
1.502506e-07,6.500741e-01,5.486763e-01,9.861366e-01,9.443668e-01,1.028233e+00,9.020554e-01
1.502546e-07,6.489845e-01,5.490444e-01,9.860949e-01,9.444028e-01,1.028246e+00,9.020561e-01
1.502586e-07,6.478842e-01,5.494174e-01,9.860538e-01,9.444386e-01,1.028258e+00,9.020578e-01
1.502626e-07,6.467731e-01,5.497951e-01,9.860133e-01,9.444741e-01,1.028270e+00,9.020605e-01
1.502666e-07,6.456516e-01,5.501774e-01,9.859732e-01,9.445094e-01,1.028283e+00,9.020643e-01
1.502706e-07,6.445198e-01,5.505641e-01,9.859337e-01,9.445443e-01,1.028295e+00,9.020691e-01
1.502746e-07,6.433782e-01,5.509553e-01,9.858947e-01,9.445790e-01,1.028307e+00,9.020749e-01
1.502786e-07,6.422274e-01,5.513510e-01,9.858562e-01,9.446134e-01,1.028320e+00,9.020817e-01
1.502826e-07,6.410686e-01,5.517515e-01,9.858183e-01,9.446475e-01,1.028331e+00,9.020897e-01
1.502866e-07,6.399042e-01,5.521575e-01,9.857809e-01,9.446812e-01,1.028342e+00,9.020991e-01
1.502906e-07,6.387377e-01,5.525704e-01,9.857440e-01,9.447146e-01,1.028350e+00,9.021101e-01
1.502946e-07,6.375715e-01,5.529930e-01,9.857077e-01,9.447477e-01,1.028353e+00,9.021238e-01
1.502986e-07,6.364020e-01,5.534284e-01,9.856719e-01,9.447804e-01,1.028349e+00,9.021409e-01
1.503026e-07,6.352231e-01,5.538781e-01,9.856366e-01,9.448127e-01,1.028337e+00,9.021619e-01
1.503066e-07,6.340325e-01,5.543385e-01,9.856019e-01,9.448447e-01,1.028314e+00,9.021864e-01
1.503106e-07,6.328310e-01,5.548029e-01,9.855678e-01,9.448763e-01,1.028283e+00,9.022132e-01
1.503146e-07,6.316204e-01,5.552679e-01,9.855342e-01,9.449074e-01,1.028243e+00,9.022418e-01
1.503186e-07,6.304019e-01,5.557325e-01,9.855011e-01,9.449382e-01,1.028196e+00,9.022715e-01
1.503226e-07,6.291744e-01,5.561959e-01,9.854686e-01,9.449685e-01,1.028143e+00,9.023020e-01
1.503266e-07,6.279354e-01,5.566565e-01,9.854367e-01,9.449985e-01,1.028085e+00,9.023327e-01
1.503306e-07,6.266814e-01,5.571123e-01,9.854054e-01,9.450279e-01,1.028024e+00,9.023630e-01
1.503346e-07,6.254087e-01,5.575610e-01,9.853746e-01,9.450570e-01,1.027962e+00,9.023928e-01
1.503386e-07,6.241151e-01,5.580012e-01,9.853444e-01,9.450856e-01,1.027899e+00,9.024225e-01
1.503426e-07,6.228064e-01,5.584379e-01,9.853148e-01,9.451137e-01,1.027839e+00,9.024530e-01
1.503466e-07,6.214934e-01,5.588796e-01,9.852858e-01,9.451414e-01,1.027782e+00,9.024851e-01
1.503506e-07,6.201807e-01,5.593299e-01,9.852574e-01,9.451686e-01,1.027728e+00,9.025190e-01
1.503546e-07,6.188679e-01,5.597884e-01,9.852296e-01,9.451954e-01,1.027676e+00,9.025544e-01
1.503586e-07,6.175533e-01,5.602537e-01,9.852024e-01,9.452216e-01,1.027627e+00,9.025908e-01
1.503626e-07,6.162358e-01,5.607247e-01,9.851758e-01,9.452474e-01,1.027579e+00,9.026279e-01
1.503666e-07,6.149146e-01,5.612006e-01,9.851499e-01,9.452727e-01,1.027532e+00,9.026653e-01
1.503706e-07,6.135894e-01,5.616808e-01,9.851245e-01,9.452975e-01,1.027487e+00,9.027028e-01
1.503746e-07,6.122599e-01,5.621647e-01,9.850997e-01,9.453218e-01,1.027443e+00,9.027403e-01
