run,stim,channel,f_lo_hz,i_mean_v,q_mean_v,mag_v,bf_amp_v,conv_gain,ripple_rms_v,preenable_offset_v,lo_feedthrough_v
250,250,250,249498719.4697568,-0.038139384343012006,-0.02090168819867043,0.04349130036706684,0.04075070027767094,1.0672528342021546,0.0011752950647394215,-0.0015137666392926307,0.0011561830419582792
250,250,500,490922356.3699205,0.0007643132771444508,0.008087745675173187,0.00812378020947772,0.008230387415095105,0.9870471218132625,0.0001565344428381718,0.0016471522418666767,3.6920675322740036e-05
250,250,750,748386296.1744484,0.027114633763024407,0.005988785726652215,0.027768127747161787,0.026366030714982048,1.053178161223298,0.0001571045755531177,0.0010521847580959084,2.2780460097933198e-05
250,250,1g,995362767.7197274,-0.001092367974933007,0.0005256105332803853,0.0012122434678539331,0.0013835311967170983,0.8761952536599074,0.00030457415331044296,-0.004263949867626525,3.7786315213323812e-06
425,500,250,249498596.0463915,-0.0007450567659920295,0.004319039755467622,0.00438283173232333,0.0016515998242890469,2.653688664692113,0.0008950847516701681,-0.0015137666392926307,0.001260938419341259
425,500,500,498923060.5987535,0.026922590665100794,0.1204511954390869,0.1234233218270586,0.1440460822152184,0.8568322020910819,0.0021354203297220243,0.0016471522418666767,0.0003500621842088205
425,500,750,746021456.6504474,-0.0028888140558028332,0.002601840891694191,0.003887778629847131,0.004390901933471132,0.8854168662276938,0.0007001109177901104,0.0010521847580959084,2.3600272723203058e-05
425,500,1g,963451565.6002387,-0.0060119421978954025,0.000316691613971969,0.006020277615625011,0.002315000311346899,2.6005515360481013,0.0002749757066157813,-0.004263949867626525,1.1873822124267038e-05
723,750,250,249498759.74512666,-0.0006565724004407176,0.00326488463010876,0.0033302490845191894,0.0016996402241467876,1.9593847198991543,0.0007928547978796932,-0.0015137666392926307,0.0011105783830194249
723,750,500,506876567.07624274,-0.004473493455506443,0.002684426937547575,0.005217115264156047,0.0051395402503013644,1.0150937652156988,0.00032385196639093705,0.0016471522418666767,4.591330404167164e-05
723,750,750,748857421.7385374,0.007825255280443467,0.0818027171754949,0.08217614713223123,0.0967209330488456,0.8496211165656453,0.0010355385402703293,0.0010521847580959084,0.00035039032647308225
723,750,1g,993605554.6102991,-0.0035666528806545285,-0.0006988350864813854,0.0036344715226809374,0.0033628489754039806,1.0807715568744287,0.0013476006073555146,-0.004263949867626525,2.979423396741268e-05
1229,1g,250,249496800.26781428,-0.0005401626864130129,0.002995225325300592,0.003043542422427353,0.001525446128562933,1.995181845782101,0.0007175621800150027,-0.0015137666392926307,0.0010046946194235224
1229,1g,500,499135455.03157055,-0.00395921647536944,0.005354534722993313,0.006659312066465866,0.005726543723449088,1.1628850469083598,0.0001237889313188303,0.0016471522418666767,0.00011775926229759007
1229,1g,750,754112863.0464479,-0.0024324662314713663,0.003448354826760971,0.004219957698661706,0.004565001115987935,0.9244154801807629,0.0008118510304937766,0.0010521847580959084,9.748208673289576e-06
1229,1g,1g,998699414.1565241,-0.01819084825753726,0.05284536758701258,0.05588863780532879,0.06667635706700002,0.838207728553149,0.0005278868363658645,-0.004263949867626525,0.00019465082603719659
4tone,all,250,249498809.6474064,-0.017194381371067744,-0.005524821906103626,0.01806018847708639,0.01936405614909523,0.9326655705824441,0.0012887302044858433,-0.0015137666392926307,0.001713284977938288
4tone,all,500,498937719.8820301,0.005772490615558981,0.058383258899851395,0.05866793474866653,0.06330525340403632,0.9267467010080064,0.001036088253120175,0.0016471522418666767,0.00012763603825899865
4tone,all,750,747807105.7837117,0.013699711698623,0.037140256357255756,0.03958637067107901,0.04163786797160688,0.9507300109139402,0.0007704670216850841,0.0010521847580959084,0.000166172730483523
4tone,all,1g,994718532.60181,-0.007810571028726607,0.02502106166440143,0.026211801666588323,0.03046900504473613,0.8602775715223663,0.0006288798990506948,-0.004263949867626525,9.87636986768444e-05
