bpf_center_hz,probe_hz,gain_v_per_v,relative_to_center_db,status
250000000,250000000,1.000000000000e+00,0.000000,derived_from_generated_RLC_values
250000000,500000000,3.331483023264e-02,-29.547248,derived_from_generated_RLC_values
250000000,750000000,1.874670497034e-02,-34.541501,derived_from_generated_RLC_values
250000000,1000000000,1.333214830615e-02,-37.501997,derived_from_generated_RLC_values
500000000,250000000,3.331483023264e-02,-29.547248,derived_from_generated_RLC_values
500000000,500000000,1.000000000000e+00,0.000000,derived_from_generated_RLC_values
500000000,750000000,5.989229072795e-02,-24.452582,derived_from_generated_RLC_values
500000000,1000000000,3.331483023264e-02,-29.547248,derived_from_generated_RLC_values
750000000,250000000,1.874670497034e-02,-34.541501,derived_from_generated_RLC_values
750000000,500000000,5.989229072795e-02,-24.452582,derived_from_generated_RLC_values
750000000,750000000,1.000000000000e+00,0.000000,derived_from_generated_RLC_values
750000000,1000000000,8.540114134644e-02,-21.370727,derived_from_generated_RLC_values
1000000000,250000000,1.333214830615e-02,-37.501997,derived_from_generated_RLC_values
1000000000,500000000,3.331483023264e-02,-29.547248,derived_from_generated_RLC_values
1000000000,750000000,8.540114134644e-02,-21.370727,derived_from_generated_RLC_values
1000000000,1000000000,1.000000000000e+00,0.000000,derived_from_generated_RLC_values
