node,val0_v,val1_v,period_s,width_s,delay_s,rise_s,fall_s
win_0_00,-1.0,1.0,4e-09,2.5e-10,0.0,1e-12,1e-12
win_0_01,-1.0,1.0,4e-09,2.5e-10,2.5e-10,1e-12,1e-12
win_0_02,-1.0,1.0,4e-09,2.5e-10,5e-10,1e-12,1e-12
win_0_03,-1.0,1.0,4e-09,2.5e-10,7.5e-10,1e-12,1e-12
win_0_04,-1.0,1.0,4e-09,2.5e-10,1e-09,1e-12,1e-12
win_0_05,-1.0,1.0,4e-09,2.5e-10,1.25e-09,1e-12,1e-12
win_0_06,-1.0,1.0,4e-09,2.5e-10,1.5e-09,1e-12,1e-12
win_0_07,-1.0,1.0,4e-09,2.5e-10,1.75e-09,1e-12,1e-12
win_0_08,-1.0,1.0,4e-09,2.5e-10,2e-09,1e-12,1e-12
win_0_09,-1.0,1.0,4e-09,2.5e-10,2.25e-09,1e-12,1e-12
win_0_10,-1.0,1.0,4e-09,2.5e-10,2.5e-09,1e-12,1e-12
win_0_11,-1.0,1.0,4e-09,2.5e-10,2.75e-09,1e-12,1e-12
win_0_12,-1.0,1.0,4e-09,2.5e-10,3e-09,1e-12,1e-12
win_0_13,-1.0,1.0,4e-09,2.5e-10,3.25e-09,1e-12,1e-12
win_0_14,-1.0,1.0,4e-09,2.5e-10,3.5e-09,1e-12,1e-12
win_0_15,-1.0,1.0,4e-09,2.5e-10,3.75e-09,1e-12,1e-12
